round_epochs,val_loss,val_acc,loss,acc,activation,optimizer,losses,hidden_layers,batch_size,epochs
10,0.0679728710680332,0.868932040571009,0.07247708085924387,0.8447916656732559,relu,Nadam,logcosh,1,40,10
10,0.04403824193710552,0.9126213482282695,0.047247512615285814,0.9093749914318323,elu,Nadam,logcosh,2,30,10
10,0.08493628280544743,0.7645631085321741,0.0888842490191261,0.7354166631897291,relu,Adam,logcosh,1,40,10
20,0.05520439426441794,0.8956310673824792,0.057762837347884975,0.8802083333333334,elu,Adam,logcosh,2,40,20
20,0.032125177042721546,0.9320388476825455,0.032841142266988754,0.9458333353201548,elu,Nadam,logcosh,2,40,20
20,0.021931436292610122,0.9514562973698366,0.021322428263374604,0.9635416585952044,relu,Nadam,logcosh,1,30,20
20,0.01613255307186865,0.9514562991058942,0.01389140093427462,0.9729166614512602,elu,Nadam,logcosh,2,20,20
20,0.01913922016047737,0.9538834841505995,0.01810314753674902,0.9739583271245161,relu,Nadam,logcosh,1,20,20
10,0.08227909595063589,0.791262141130503,0.08662110349784295,0.7468750029802322,elu,Adam,logcosh,1,40,10
10,0.06803761748144928,0.8737864077669902,0.07201305776834488,0.8552083261311054,relu,Adam,logcosh,1,30,10
20,0.060514500527416616,0.8956310615956204,0.06318629703794916,0.8791666676600774,relu,Adam,logcosh,2,40,20
10,0.038285569061787386,0.9296116493280652,0.04087917952953527,0.9249999970197678,elu,Nadam,logcosh,2,20,10
10,0.05666089289396712,0.8932038794443445,0.06071693574388822,0.866666667163372,elu,Nadam,logcosh,1,40,10
20,0.04162399768286828,0.9199029033623852,0.0431851664907299,0.9249999839812517,elu,Adam,logcosh,1,30,20
10,0.04566444927663768,0.9150485347196894,0.04895742208464071,0.8937499932944775,elu,Nadam,logcosh,1,30,10
20,0.03437246561267422,0.9320388314793411,0.03505778200148294,0.9427083221574625,elu,Adam,logcosh,2,20,20
10,0.07073834967049002,0.8592232974987586,0.07473172061145306,0.8208333309739828,relu,Adam,logcosh,2,30,10
10,0.06352147814428923,0.8810679629011061,0.06708078699496885,0.8458333313465118,relu,Adam,logcosh,1,20,10
20,0.05044593466717063,0.900485431685031,0.052912598087762795,0.8895833293596903,relu,Adam,logcosh,1,20,20
20,0.05544142656534621,0.8932038779976299,0.05821011227089912,0.8781249951571226,relu,Adam,logcosh,2,30,20
20,0.01537639238573249,0.9611650392847154,0.014137386169750243,0.9749999940395355,elu,Nadam,logcosh,1,20,20
10,0.06384532703357992,0.868932040571009,0.06803637137636542,0.8458333387970924,relu,Nadam,logcosh,2,40,10
20,0.02040422182457829,0.949029114061189,0.019577225253063563,0.9739583296080431,relu,Nadam,logcosh,2,20,20
10,0.06391622198438182,0.8640776704815984,0.06828892137855291,0.8489583333333334,elu,Adam,logcosh,1,20,10
20,0.042513744552954306,0.9199029033623852,0.044103696185629815,0.9218749888241291,elu,Adam,logcosh,2,30,20
10,0.08009193584467601,0.8106796075996844,0.08418604855736096,0.7822916706403097,elu,Adam,logcosh,2,40,10
10,0.0325678449341105,0.9320388314793411,0.03435093552495042,0.9437499903142452,elu,Nadam,logcosh,1,20,10
20,0.02956259809434414,0.934466009290473,0.02985327725764364,0.9531249925494194,relu,Nadam,logcosh,2,30,20
20,0.06009492010456845,0.8834951450523821,0.0628232965245843,0.868749996026357,relu,Adam,logcosh,1,40,20
20,0.03434832555070085,0.9320388476825455,0.034819190856069326,0.9447916721304258,relu,Nadam,logcosh,2,40,20
10,0.04825305110476549,0.8980582524271845,0.05103366453355799,0.8874999980131785,relu,Nadam,logcosh,2,20,10
10,0.05142450074041353,0.9004854244514576,0.05520434898789972,0.8822916559875011,relu,Nadam,logcosh,1,30,10
10,0.08498074931716457,0.7864077669902912,0.08869693210969369,0.7624999980131785,relu,Adam,logcosh,2,40,10
20,0.0587889502928095,0.885922322863514,0.061462753801606596,0.8583333287388086,relu,Adam,logcosh,1,30,20
10,0.06729558531592772,0.8762135855781222,0.07133159111253917,0.8343749903142452,elu,Adam,logcosh,1,30,10
20,0.02939807480761727,0.9368932119850973,0.029972907931854326,0.9572916701436043,elu,Nadam,logcosh,1,40,20
20,0.03790785026854103,0.9271844602325587,0.038878364488482475,0.936458328117927,elu,Adam,logcosh,1,20,20
20,0.03833729987150257,0.9296116493280652,0.039334870564440884,0.9406249957780043,relu,Adam,logcosh,2,20,20
10,0.05665194398714501,0.8956310601489058,0.06074727058876306,0.8697916604578495,relu,Nadam,logcosh,2,30,10
10,0.057496329136554475,0.888349509354934,0.061632088695963226,0.8749999975164732,elu,Nadam,logcosh,2,40,10
10,0.07359443682707051,0.8519417423646427,0.07772054453380406,0.8197916615754366,elu,Adam,logcosh,2,30,10
20,0.036035792648936936,0.9320388476825455,0.03663732809945941,0.9489583373069763,relu,Nadam,logcosh,1,40,20
10,0.038869905855181144,0.9247572792386546,0.04025977857721349,0.9302083241442839,relu,Nadam,logcosh,1,20,10
20,0.05419144396064351,0.9004854374718898,0.05681741998220483,0.8885416612029076,elu,Adam,logcosh,1,40,20
10,0.061725040843475215,0.8883495122483633,0.06580511333110432,0.8718750004967054,elu,Adam,logcosh,2,20,10
20,0.023224658712527706,0.9466019287271407,0.021814476000145078,0.963541654869914,elu,Nadam,logcosh,2,30,20
20,0.021887556667828444,0.9466019287271407,0.020831784495385364,0.963541654869914,elu,Nadam,logcosh,1,30,20
10,0.06921433429550199,0.8616504854368932,0.07315642231454451,0.832291666418314,relu,Adam,logcosh,2,20,10
